PERSON_ID,LATEST_PENDING_SIGNATURE_REQUEST,PERSON_ID_VALIDATED,EXTRA_INFO_STATE,GIVEN_NAME,SURNAME,SIGNATURE_STATE
1251653,,,,,,
7114407,1315520076,,,,,
7432208,,PERSON_ID_VALIDATED_INVALID,,,,
7705189,1315520077,PERSON_ID_VALIDATED_INVALID,,,,
1565480,,PERSON_ID_VALIDATED_VALID,,,,
7467304,,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_RETRIEVING,,,
1186112,,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_RETRIEVED,A,B,
3111341,,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_ERROR,,,
3182520,1315520078,PERSON_ID_VALIDATED_VALID,,,,
8067501,1315520079,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_RETRIEVING,,,
9667626,1315520080,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_RETRIEVED,B,C,
5654930,1315520081,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_ERROR,,,
8285035,,,,,,
1983885,,,,,,
2903217,,,,,,
1241806,,,,,,
7958893,,,,,,
2715489,,,,,,
1471562,,,,,,
8211282,,,,,,
4687728,,,,,,
9106333,,,,,,
1654818,,,,,,
5418022,,,,,,
2247532,,,,,,
5175942,,,,,,
9323315,,,,,,
9375179,,,,,,SIGNATURE_STATE_CAPTURED
1537265,1315520082,,,,,SIGNATURE_STATE_CAPTURED
2506188,,PERSON_ID_VALIDATED_INVALID,,,,SIGNATURE_STATE_CAPTURED
9155487,1315520083,PERSON_ID_VALIDATED_INVALID,,,,SIGNATURE_STATE_CAPTURED
1156772,,,,,,
2543068,,,,,,
1606997,,,,,,
6997723,,,,,,
9059011,,,,,,
2636314,,,,,,
3736089,,,,,,
7341371,,,,,,
4549000,,,,,,
7919686,1315321077,,,,,
6252746,1315322077,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_RETRIEVING,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
7388261,1415321077,PERSON_ID_VALIDATED_VALID,EXTRA_INFO_STATE_RETRIEVED,Tariq,Patel,SIGNATURE_STATE_UPLOADED
7388261,,,,,,
